#SampleID,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp,observations_deblur_100bp,observations_deblur_150bp
550.L1S116.s.1.sequence,33383,32153,32453,33337,22567,22160,1043
550.L1S119.s.1.sequence,40944,39472,39929,40870,27871,27191,1272
550.L1S164.s.1.sequence,35636,34550,34666,35599,24134,23686,1161
550.L1S194.s.1.sequence,46992,43925,43852,46875,30041,29264,1974
550.L1S20.s.1.sequence,30131,29179,29553,30094,21132,20643,603
550.L1S26.s.1.sequence,29907,29034,29310,29865,20875,20401,572
550.L1S264.s.1.sequence,40565,39123,39200,40433,25919,25653,4033
550.L1S273.s.1.sequence,49669,47800,48154,49582,32962,32301,1602
550.L2S103.s.2.sequence,16954,15824,16107,16870,10838,10983,391
550.L2S144.s.2.sequence,20378,18484,19185,20280,13559,13608,913
550.L2S164.s.2.sequence,16832,15888,16278,16768,11276,11221,722
550.L2S166.s.2.sequence,16622,14630,15129,16545,10635,10666,294
550.L2S303.s.2.sequence,21703,21149,21291,21669,16250,15149,609
550.L2S377.s.2.sequence,18580,17692,17927,18514,11904,11783,699
550.L4S1.s.4.sequence,69716,67343,67582,69538,47314,47069,3587
550.L4S102.s.4.sequence,47002,44043,44976,46783,30347,31094,2820
550.L4S122.s.4.sequence,44084,42135,42287,43960,31629,31257,2172
550.L4S140.s.4.sequence,33416,32255,32613,33371,21734,21402,1370
550.L4S158.s.4.sequence,39556,38937,39048,39521,28686,28383,4010
550.L4S161.s.4.sequence,40673,38131,38838,40530,26217,26731,2431
550.L4S183.s.4.sequence,42906,42309,42429,42847,31601,31365,4354
550.L5S119.s.5.sequence,10470,10169,10253,10457,8060,7924,1010
550.L5S224.s.5.sequence,10892,10407,10645,10888,8456,8309,1310
550.L5S258.s.5.sequence,11284,11045,11065,11278,8693,8534,1234
550.L6S104.s.6.sequence,45100,43379,43944,45070,34771,33960,4052
550.L6S144.s.6.sequence,43871,42619,42820,43854,34508,33940,4364
550.L6S149.s.6.sequence,36821,35624,35807,36800,28528,27807,2971
550.L6S176.s.6.sequence,37428,36801,36902,37421,29224,28612,3395
550.L6S186.s.6.sequence,36166,35134,35245,36149,27779,27157,3064
550.L6S197.s.6.sequence,27392,26666,26978,27382,20656,20053,1859
550.L6S231.s.6.sequence,36569,35561,35708,36554,28197,27661,3585
550.L6S261.s.6.sequence,31984,31209,31326,31975,24655,23964,2337
550.L6S265.s.6.sequence,28157,27498,27576,28143,21865,21464,1834
550.L6S269.s.6.sequence,35602,34700,34812,35587,27829,27258,3018
550.L6S272.s.6.sequence,31942,31164,31304,31926,24115,23705,2695
550.L6S289.s.6.sequence,38509,37503,37610,38495,30363,29833,4592
550.L6S309.s.6.sequence,33460,32617,32735,33438,26615,26016,2239
632.Agricultural.soil.wheat,254667,194725,202513,236619,93645,71912,0
632.Arctic.Tundra.1,145592,112277,114891,137752,56060,44890,0
632.Temperate.deciduous.forest,160362,120070,124649,147712,57253,45431,0
638.ELB18.111810.2,409660,267338,294409,405394,246139,218888,0
638.ELB6.111810.2,665113,521428,545036,661251,437823,394197,0
638.FRX6.120710.1,552698,430390,446192,541983,287306,249492,0
638.FRX7.120910.2,716093,593535,609665,705982,398992,358234,0
638.RMK.ENR.11.2,428944,341934,345075,427926,282287,205117,0
638.RMK.ENR.12.1,600214,532605,541599,598908,447205,364540,0
638.RMK.ENR.23.1,519229,445743,442363,516432,320333,285836,0
638.RMK.ENR.27.1,621054,570151,575878,618256,426620,379221,0
638.RMK.ENR.34.2,681983,674191,674002,681302,589438,573024,0
638.RMK.ENR.35.1,598013,581999,582320,597277,493510,474395,0
